station_id,wmo_id,latitude,longitude,elevation_m,site,state,country,site_type
EGPO,,58.21559906,-6.331110001,26,Stornoway Airport,GB-SCT,Stornoway,
AK96,,58.21620178,-157.352005,50,Bartletts Airport,US-AK,Egegik,
EEKE,,58.22990036,22.5095005,14,Kuressaare Airport,EE-74,Kuressaare,
CYKC,,58.23609924,-103.6780014,1341,Collins Bay Airport,CA-SK,Collins Bay,
PANR,,58.25439835,-134.897995,0,Funter Bay Seaplane Base,US-AK,Funter Bay,
CA-0336,,58.26666641,-131.7833405,0,Sheslay Airport,CA-BC,,
CKC2,,58.26670074,-104.0830002,0,Points North Landing Seaplane Base,CA-SK,,
CA-0568,,58.272539,-116.461299,990,Prairie Point Airport,CA-AB,La Crête,
CYNL,,58.27669907,-104.0820007,1605,Points North Landing Airport,CA-SK,Points North Landing,
EE-0003,,58.28359985,22.81780052,0,Nässuma Airstrip,EE-74,Nässuma,
EELM,,58.290658,26.767748,0,Lennundusmuuseum,EE-U-A,Tartu,
5Z1,,58.2989006,-134.4080048,0,Juneau Harbor Seaplane Base,US-AK,Juneau,
EETU,,58.30749893,26.69039917,219,Tartu Airport,EE-7B,Tartu,
EE-0007,,58.3121457,22.2644062,0,Kagul Air Base,EE-74,,
UIKM,,58.3133316,112.8899994,659,Mama Airport,RU-IRK,Mama,
CA-0180,,58.31666565,-110.2833328,0,Keane Tower Airport,CA-AB,,
ESGT,,58.31809998,12.34500027,137,Trollhättan-Vänersborg Airport,SE-Q,Trollhättan,
UNLL,,58.32529831,82.93250275,243,Kolpashevo Airport,RU-TOM,Kolpashevo,
EEVI,,58.34999847,25.49309921,249,Viljandi Airfield,EE-84,Viljandi,
PAJN,,58.35499954,-134.576004,21,Juneau International Airport,US-AK,Juneau,
EE-0001,,58.36500168,22.44499969,69,Aste Air Base,EE-74,Aste,
ENSL,,58.36669922,1.906939983,0,Sleipner A Platform,NO-U-A,,
ESGU,,58.36759949,11.77540016,0,Rörkärr Airport,SE-Q,Uddevalla,
RU-0074,,58.37120056,31.04360008,0,Borki Airfield,RU-NGR,Novgorod,
SYB,,58.3733,-152.2018,0,Seal Bay Seaplane Base,US-AK,Seal Bay,
RU-0417,,58.37447067,33.31222057,0,Okulovka Airport,RU-NGR,Okulovka,
EE-0006,,58.378889,27.523333,0,Piirissaar Airfield,EE-7B,Piirissaar,
UNKB,,58.38061523,97.47233582,446,Boguchany Airport,RU-KYA,Boguchany,
CJS3,,58.39110184,-109.5159988,1112,Cluff Lake Airport,CA-SK,Cluff Lake,
UUBQ,,58.391989,45.554466,120,Sharya Airport,RU-KOS,,
ESCF,,58.40230179,15.52569962,308,Malmen Air Base,SE-E,Linköping,
CEZ4,,58.40420151,-115.9509964,836,Fort Vermilion Airport,CA-AB,Fort Vermilion,
EETR,,58.40470123,26.77610016,217,Raadi Airfield,EE-7B,Tartu,
ESSL,,58.40620041,15.68050003,172,Linköping City Airport,SE-E,Linköping,
CA-0625,,58.407203,-115.973601,817,Fort Vermilion Water Aerodrome,CA-AB,Fort Vermilion,
ESFH,,58.40969849,13.26309967,0,Hasslosa Air Base,SE-Q,Hasslosa,
ENXZ,,58.41669846,1.716670036,0,Sleipner B Platform,NO-U-A,,
EEPU,,58.41899872,24.4727993,47,Pärnu Airport,EE-67,Pärnu,
EXI,,58.420502,-135.449005,0,Excursion Inlet Seaplane Base,US-AK,Excursion Inlet,
CYDL,,58.42219925,-130.0319977,2600,Dease Lake Airport,CA-BC,Dease Lake,
PAGS,,58.4253006,-135.7070007,35,Gustavus Airport,US-AK,Gustavus,
ESIB,,58.42639923,12.71440029,181,Såtenäs Air Base,SE-Q,Såtenäs,
SE-0002,,58.435513,16.60738,7,Stegeborg,SE-E,,
ULNB,,58.43600082,33.88899994,0,Borovichi Airport,RU-NGR,Borovichi,
UELT,,58.44634,119.504728,0,Torgo Airport,RU-SA,,
BQV,,58.4552002,-135.8849945,0,Bartlett Cove Seaplane Base,US-AK,Gustavus,
ESGR,,58.45640182,13.97270012,324,Skövde Airport,SE-Q,Skövde,
EGPC,,58.45890045,-3.093060017,126,Wick Airport,GB-SCT,Wick,
CA-0546,,58.459,-130.038,2470,Dease Lake Seaplane Base,CA-BC,Dease Lake,
ESGL,,58.4655,13.1744,200,Lidköping-Hovby Airport,SE-Q,Lidköping,
CYPH,,58.47190094,-78.07689667,83,Inukjuak Airport,CA-QC,Inukjuak,
CEC3,,58.47330093,-114.5429993,850,Fox Lake Airport,CA-AB,Fox Lake,
UNII,,58.4742012,92.11250305,253,Yeniseysk Airport,RU-KYA,Yeniseysk,
CA-0322,,58.475119,-62.655373,269,Saglek Airport,CA-NL,RCAF Station Saglek,
UNKI,,58.47940063,99.09390259,0,Kodinsk Airport,RU-KYA,,
TKL,,58.48970032,-133.9429932,0,Taku Lodge Seaplane Base,US-AK,Taku Lodge,
KPR,,58.49010086,-152.5820007,0,Port Williams Seaplane Base,US-AK,Port Williams,
CA-0303,,58.4912262,-118.9195328,0,Mobil 1128 Airport,CA-AB,Rainbow Lake,
CFG5,,58.49140167,-115.1380005,950,John D'Or Prairie Airport,CA-AB,John D'Or Prairie,
CYOP,,58.49140167,-119.4079971,1759,Rainbow Lake Airport,CA-AB,Rainbow Lake,
ULNN,,58.49330139,31.24169922,85,Novgorod Airport,RU-NGR,Velikiy Novgorod,
ESFR,,58.49810028,13.05319977,230,Råda Air Base,SE-Q,Råda,
USKK,,58.50329971,49.34830093,479,Pobedilovo Airport,RU-KIR,Kirov,
ESIA,,58.51380157,14.50710011,308,Karlsborg Air Base,SE-Q,Karlsborg,
ENGK,,58.516701,8.7,390,Gullknapp Flpl Airport,NO-09,,
UNIA,,58.5291,88.4031,373,Aydara Airport,RU-KYA,Aydara,
CA-0098,,58.54999924,-119.0500031,0,Comet Airport,CA-AB,,
5Z9,,58.55479813,-155.7769928,36,Lake Brooks Seaplane Base,US-AK,Katmai National Park,
RU-0497,,58.558887,29.935358,223,Golubkovo Airfield,RU-LEN,Golubkovo,
ESGN,,58.57860184,13.61060047,259,Brännebrona Airport,SE-Q,Götene,
EGPY,,58.5839,-3.72694,22,Dounreay/Thurso Airport,GB-SCT,Thurso,
